"builder_id","person_team_or_project","public_identity","current_affiliation","project","project_url","primary_technical_area","builder_pool","source_channel","latest_meaningful_signal","technical_artifact","technical_evidence","formation_evidence","commercialization_evidence","array_relevance","why_non_obvious","biggest_technical_question","biggest_formation_question","evidence_quality","source_urls"
"DZ-011","mikehasa / agentacct","github.com/mikehasa","UNKNOWN — no name, company, or blog published","agentacct","https://github.com/mikehasa/agentacct","Agent work-step accounting","U","GitHub","OBSERVED 2026-08-21: active","Python; breaks each agent task into work steps — tools used, files changed, tests run, time and tokens spent; local-first; no telemetry; 622 stars; 114 owner commits; MIT; created 2026-07-24","D-08 evaluation/measurement OBSERVED; TQ-2 novel-application INFERRED — this is Accepted-Work-Unit accounting built independently","No formation evidence. ZERO. State: BUILDING","UNKNOWN","Theme 3 and the AWU frame — the closest artifact in the universe to Array's own published metric","Six-week-old project, 9 followers, one public repo, no name. Structurally invisible to every ranking system","Can 'work steps' be defined consistently enough across agents to be an accounting unit rather than a log view?","Identity is unresolved. Cannot be introduced until the person publishes something linkable (ER-3)","LOW (identity) / HIGH (artifact)","https://github.com/mikehasa/agentacct | https://github.com/mikehasa"
"DZ-012","Vivek Chand / ClawMetry","github.com/vivekchand (Vivek Chand)","OBSERVED: self-published — 'AI Engineering at Booking.com | Building ClawMetry'; Amsterdam","clawmetry","https://github.com/vivekchand/clawmetry","Agent observability + cost governance","B","GitHub","OBSERVED 2026-08-23: active","Python; zero-config observability and governance across 20+ agent runtimes; live token costs, sessions, tool calls, crons; 399 stars; 3,111 owner commits; MIT; created 2026-02-13","D-08 OBSERVED; TQ-7 breadth across 20+ runtimes OBSERVED; TQ-1 L2 INFERRED","F-01 clawmetry.com OBSERVED; F-03 first-person 'Building ClawMetry' in bio OBSERVED. Two channels. Note: employment at Booking.com is context, NOT a departure signal","UNKNOWN","Themes 2 and 3 (governance + economics)","3,111 commits against 399 stars — extreme construction-to-attention ratio; 95 followers","Does zero-config instrumentation across 20+ heterogeneous runtimes stay correct, or degrade to lowest-common-denominator metrics?","Is this nights-and-weekends or a company in formation? Only he can say, and DAY ZERO must not guess","HIGH","https://github.com/vivekchand/clawmetry | https://clawmetry.com | https://github.com/vivekchand"
"DZ-013","Yusheng Zheng / eunomia-bpf — AgentSight","github.com/yunwei37 (Yusheng Zheng)","OBSERVED: GitHub company field 'eunomia-bpf'; location London; arXiv affiliation with co-authors incl. Andi Quinn","agentsight","https://github.com/eunomia-bpf/agentsight","eBPF system-level agent observability","A","GitHub + arXiv","OBSERVED 2026-08-22: active pushes","C/eBPF; 599 stars; 207 human top-contributor commits; MIT; created 2025-07-07; project page at eunomia.dev/agentsight","D-01 eBPF OBSERVED; D-05 security OBSERVED; TQ-4 research depth OBSERVED — arXiv:2508.02736 'AgentSight: System-Level Observability for AI Agents Using eBPF' (2025-08-02); C-03 paper↔repo author overlap OBSERVED","eunomia-bpf org created 2022-08-20, 151 repos — an ESTABLISHED open-source community, not a new formation. State: COLLABORATING, not FORMING","UNKNOWN","Directly answers Array's security-post critique that existing tooling misses agents 'moving data through syscalls'","599 stars for the only paper-backed eBPF agent-observability artifact found; every attention-ranked list would miss it","What is the measured overhead of eBPF-based agent tracing under a realistic multi-agent workload?","Is a company forming out of eunomia-bpf, or is this a research community that stays one? No formation signal found","HIGH","https://github.com/eunomia-bpf/agentsight | https://arxiv.org/abs/2508.02736 | https://github.com/yunwei37"
"DZ-014","Derek Chong + Stanford NLP collaborators / Shepherd","github.com/dcx (Derek Chong), github.com/wyshi (Northeastern University)","OBSERVED: dcx self-published 'Building Shepherd with the Stanford NLP Group!'; nlp.stanford.edu homepage; wyshi lists Northeastern University","shepherd","https://github.com/shepherd-agents/shepherd","Reversible agent execution substrate","A","GitHub","OBSERVED 2026-08-09: last push","Python; turns agent execution into a reversible Git-like trace so meta-agents can observe, fork, replay, and revert; 2,365 stars; 100 top-contributor commits; MIT; created 2026-06-24","D-02 originality OBSERVED; TQ-6 TWO specific claims OBSERVED ('CoW fork ~5x faster than docker commit', '~95% KV-cache reuse on replay'); TQ-4 academic affiliation OBSERVED","F-01 shepherd-agents.ai OBSERVED; F-02 org created 2026-06-24 OBSERVED (same day as repo). C-02 recurring academic collaborators OBSERVED. Two formation signals but arguably ONE channel (org+domain announced together) — classified COLLABORATING, FORMING PARTIAL","UNKNOWN","LoopOps layer from Shruti's July 2026 post: state ledgers, replay, escalation. The ~95% KV-reuse claim is exactly the cost-per-AWU mechanism","Two months old, 100 commits, from an NLP group rather than a systems group — most VC sourcing indexes Stanford NLP for models, not for runtime substrates","Does ~95% KV-cache reuse on replay hold when the forked branch diverges early in the trace?","Is this a lab project or an incorporating company? Org and domain created the same day as the repo is a formation-shaped but thin signal","MEDIUM","https://github.com/shepherd-agents/shepherd | https://nlp.stanford.edu/~derekch/ | https://github.com/wyshi"
"DZ-015","Nicola Alessi / Brain0","github.com/nicolalessi (Nicola Alessi, org: Brain0-ai)","OBSERVED: self-published 'Working on @Vexp-ai', vexp.dev, Milano","brain0","https://github.com/Brain0-ai/brain0","Agent code provenance / attestation","U","GitHub","OBSERVED 2026-07-19: last push — 5 weeks stale at audit","Rust; passive decision graph linking every commit to the agent prompts behind it; drift detection, DLP audit of what agents read, signed provenance attestations; 367 stars; 3 commits; Apache-2.0; created 2026-07-02","D-02 originality INFERRED (commit↔prompt provenance is a real gap); B-03 sustained construction FAILS — 3 commits","F-02 org Brain0-ai OBSERVED but the founder's own bio points at a DIFFERENT org (Vexp). Conflicting formation signals","UNKNOWN","'Vibe coding security' — one of Array's four explicitly-wanted security categories","Very early; would be missed by anything requiring traction. But B-03 failure means it should NOT be surfaced yet","Is signed provenance of agent-written code enforceable, or advisory only?","Two orgs, one founder, 3 commits — which is the real project? Watchlist only","LOW","https://github.com/Brain0-ai/brain0 | https://github.com/nicolalessi"
"DZ-016","Parth Shah / Linnix","github.com/parth21shah (Parth Shah)","OBSERVED: self-published — 'Building low-level systems tools | Currently: Linnix (eBPF observability) | Rust + eBPF + AI'; New York","linnix","https://github.com/linnix-os/linnix","eBPF Linux observability + AI incident detection","U","GitHub","OBSERVED 2026-08-23: active","Rust; eBPF-powered Linux observability with AI incident detection; 249 stars; 172 owner commits; AGPL-3.0; created 2025-11-01","D-01 eBPF OBSERVED; TQ-3 high OBSERVED","F-02 org linnix-os created 2025-08-06 OBSERVED (before the repo); F-03 first-person 'Currently: Linnix' OBSERVED. Two signals, arguably two channels","UNKNOWN","Agent-era observability + the security thesis; AGPL choice is itself a commercial-intent signal","10 followers, 3 public repos, 4 org followers. Among the most invisible serious systems builders in the universe","Does AI incident detection on eBPF telemetry beat threshold alerting, or add latency without precision?","Is Linnix incorporated? Is he full-time? No statement found","MEDIUM","https://github.com/linnix-os/linnix | https://github.com/parth21shah"
"DZ-017","FailproofAI","github.com/NiveditJain (org: FailproofAI)","UNKNOWN","failproofai","https://github.com/FailproofAI/failproofai","Agent policy enforcement + observability","U","GitHub","OBSERVED 2026-08-21: active","MDX/multi; 40 built-in policies, local dashboard, no account required; 1,387 stars; 243 top-contributor commits; created 2026-04-06","D-08 OBSERVED; TQ-1 L2 INFERRED","F-01 befailproof.ai OBSERVED; F-02 org OBSERVED; free cloud plan implies a commercial entity","M-04 'generous free cloud plan' OBSERVED — a productized surface exists","Theme 2 (AI Governance Infrastructure / control layer)","Moderate attention; the policy-enforcement angle is less crowded than observability","Are 40 built-in policies enforceable pre-execution, or detected post-hoc? The distinction is the whole product","Who is the founding team? Not publicly identified","MEDIUM","https://github.com/FailproofAI/failproofai | https://befailproof.ai"
"DZ-018","Raju Dandigam / agent-inspect","github.com/rajudandigam (Raju Dandigam)","OBSERVED: LinkedIn linked from GitHub; San Jose","agent-inspect","https://github.com/rajudandigam/agent-inspect","Local agent execution trees","U","GitHub","OBSERVED 2026-08-16: active","TypeScript; local execution trees for TS agents — tool calls, LLM calls, failures, durations, run metadata; 343 stars; 780 owner commits; MIT; created 2026-05-02","D-08 OBSERVED; TQ-8 architecture clarity OBSERVED (local-first, inspectable)","No org, no company domain, no founder statement. State: BUILDING","UNKNOWN","Theme 2; local-first observability is a real posture in a category dominated by SaaS","780 commits, 36 followers. Pure construction-to-attention outlier","Do local execution trees stay useful at production trace volumes, or is local-first a demo constraint?","No formation evidence. Is this intended as a product?","MEDIUM","https://github.com/rajudandigam/agent-inspect"
"DZ-019","Secure Agentics / Adrian","github.com/yanny-sec (org: secureagentics)","UNKNOWN — org located United Kingdom; contributor account created 2026-03-04","Adrian","https://github.com/secureagentics/Adrian","Runtime agent security","U","GitHub","OBSERVED 2026-08-20: active","Python; runtime monitoring and control of agents — malicious tool use, prompt injection, policy drift, caught before the agent acts; 546 stars; 6 identified contributors; Apache-2.0; created 2026-05-11; no releases","D-05 security OBSERVED; TQ-1 L2 INFERRED — pre-execution interception depth unverified","F-01 secureagentics.ai OBSERVED; F-02 org created 2025-11-14 OBSERVED (6 months before the repo — deliberate formation, not incidental)","UNKNOWN","Array's explicitly-wanted 'AI red-teaming and pre-deployment security testing' and agent authority categories","Small; the org predates the artifact, which is an unusual and interesting ordering","Is interception genuinely pre-execution, or post-hoc detection with a fast kill?","All contributor accounts are new and pseudonymous. Identity resolution fails ER-1 — cannot introduce","LOW","https://github.com/secureagentics/Adrian | https://secureagentics.ai/"
"DZ-020","Karib0u / Rustinel","github.com/Karib0u","OBSERVED: self-published — 'Building open-source cyber defense tools. Creator of Rustinel, an EDR in Rust for Windows & Linux. Malware analysis, DFIR, threat hunting & CTI.'; France","rustinel","https://github.com/Karib0u/rustinel","Endpoint detection & response","U","GitHub","OBSERVED 2026-08-18: active","Rust; cross-platform EDR using ETW, ESF, eBPF, Sigma, YARA, IOCs, ECS NDJSON; 454 stars; 141 owner commits; Apache-2.0; created 2026-01-31; docs site","D-01 OBSERVED (ETW + ESF + eBPF — three OS telemetry subsystems); D-05 OBSERVED; TQ-3 high OBSERVED; TQ-1 L3-L4 INFERRED","F-01 docs.rustinel.io OBSERVED. ONE channel. No org, no company, no founder statement — NOT FORMING","UNKNOWN","Cybersecurity is a named Array area; a solo-built cross-platform EDR is genuinely hard","72 followers, pseudonymous, French. Writing an EDR alone is a rare capability signal that no popularity ranking surfaces","How does a solo-maintained EDR handle detection-rule maintenance, which is usually the real cost?","No formation evidence and a pseudonymous identity. Watchlist, not intro","MEDIUM","https://github.com/Karib0u/rustinel | https://docs.rustinel.io"
"DZ-021","Dhia Ayachi / kloak","github.com/dhiaayachi (Dhia Ayachi, org: spinningfactory)","OBSERVED: GitHub company field 'Polygon.io'; Montreal","kloak","https://github.com/spinningfactory/kloak","Zero-trust for agent runtimes","B","GitHub","OBSERVED 2026-08-18: active","C; cloud-native zero-trust security for AI agent run environments; 261 stars; 209 top-contributor commits; AGPL-3.0; created 2026-02-07","D-01/D-05 OBSERVED; AGPL + hosted domain is a commercial-intent pattern","F-01 getkloak.io OBSERVED; F-02 org spinningfactory created 2024-01-08 OBSERVED. Two signals. Employment at Polygon.io is CONTEXT ONLY — not a departure signal","UNKNOWN","Array's explicitly-wanted 'agent identity and authority management' category","4 org followers, 25 personal followers. Effectively invisible","What does zero-trust mean at the agent-runtime layer — mTLS between agents, or per-syscall authorization?","Is spinningfactory a side vehicle or a company? The org predates the project by 2 years","MEDIUM","https://github.com/spinningfactory/kloak | https://getkloak.io"
"DZ-022","ThunderID","github.com/thunder-id","UNKNOWN","thunderid","https://github.com/thunder-id/thunderid","Identity for humans, agents, machines","U","GitHub","OBSERVED 2026-08-22: active","Go; composable identity flows for humans, AI agents, and machines; 564 stars; 89 pages of contributors; top six contributors at 1,098/553/464/436/400/388 commits; Apache-2.0; created 2025-05-01","D-05 OBSERVED; TQ-1 L3 INFERRED; TQ-7 mature codebase OBSERVED","F-01 thunderid.dev OBSERVED. BUT: a large, coordinated, long-tenured contributor set is the NC-6 established-organization shape","UNKNOWN","Array's explicitly-wanted 'agent identity and authority management' — the most direct match in the universe","Directly on a stated Array mandate — which is exactly why the established-org check matters before acting","Does agent identity require a new primitive, or is it OIDC/SPIFFE with new claims?","REGISTRY CHECK REQUIRED. Contributor pattern suggests an existing enterprise identity team, not a new formation (NC-6)","LOW — requires verification","https://github.com/thunder-id/thunderid"
"DZ-023","Hiroki Suezawa / cicd-sensor","github.com/rung (Hiroki Suezawa)","OBSERVED: self-published — Security Engineer, GitLab; Tokyo; suezawa.net","cicd-sensor","https://github.com/cicd-sensor/cicd-sensor","CI/CD supply-chain runtime security","B","GitHub","OBSERVED 2026-08-22: active","Go; eBPF runtime security sensor for GitHub Actions and GitLab CI/CD; 240 stars; 279 top-contributor commits; Apache-2.0; created 2026-05-07","D-01 eBPF OBSERVED; D-05 OBSERVED; TQ-3 high OBSERVED","F-02 org cicd-sensor created 2026-05-06 OBSERVED; project site OBSERVED. Employment at GitLab is CONTEXT — not a departure signal","UNKNOWN","Supply-chain security in an era where agents write and merge code — adjacent to 'vibe coding security'","5 org followers, 143 personal followers. A recognized security engineer building in a category Array named","Does eBPF sensing inside ephemeral CI runners have enough lifetime to detect anything?","No founder statement. Is this open-source work by an employed engineer, or a formation? Must not be inferred","MEDIUM","https://github.com/cicd-sensor/cicd-sensor | https://www.suezawa.net/"
"DZ-024","qpoint-io / qtap","github.com/jonfriesen + kamaln7 + tylerflint (org: qpoint-io)","UNKNOWN — org has a commercial product page","qtap","https://github.com/qpoint-io/qtap","eBPF pre-encryption egress visibility","U","GitHub","OBSERVED 2026-08-19: active","C/eBPF; captures pre-encrypted network traffic with process attribution for egress connections; 1,456 stars; 4 identified contributors; AGPL-3.0; created 2025-04-16","D-01 OBSERVED; D-05 OBSERVED; TQ-3 high OBSERVED","Commercial product page at qpoint.io/products/qtap — this is an existing company, state LAUNCHED","M-04 productized OBSERVED","Directly addresses the 'agents call APIs and load third-party code without human oversight' problem from Array's security post","Already a company; included as a landscape anchor and a comparison baseline, not as a lead","Does pre-encryption capture with process attribution scale to an enterprise's full egress volume?","Already launched. Not a DAY ZERO lead","MEDIUM","https://github.com/qpoint-io/qtap | https://qpoint.io/products/qtap"
"DZ-025","seojoonkim / prompt-guard","github.com/seojoonkim","UNKNOWN","prompt-guard","https://github.com/seojoonkim/prompt-guard","Prompt-injection defense","U","GitHub","OBSERVED 2026-04-22: last push — 4 months stale","Python; multi-language prompt-injection detection with severity scoring; 173 stars; 38 owner + 36 second-contributor commits; MIT; created 2026-01-29; no releases","D-05 INFERRED; TQ-1 L1-L2 INFERRED — classifier-based detection","No formation evidence","UNKNOWN","Prompt injection is named in Array's security post (EchoLeak)","Small and quiet","Does multi-language injection detection generalize, or overfit to known payload families?","V-06 abandonment risk — no push in 4 months. Watchlist","LOW","https://github.com/seojoonkim/prompt-guard"
"DZ-026","Jiarong Xing + collaborators / kvcached","github.com/jiarong0907 (Jiarong Xing, Rice University), ivanium, ztang2370","OBSERVED: self-published — Rice University; jxing.me; Houston","kvcached","https://github.com/ovg-project/kvcached","GPU virtualization / elastic KV cache","A","GitHub","OBSERVED 2026-08-23: active","Python/CUDA; virtualized elastic KV cache for dynamic GPU sharing; 1,140 stars; 29 pages of contributors; Apache-2.0; created 2025-05-27; org 'openvgpu' created 2025-05-27","D-07 model infrastructure OBSERVED; D-03 performance engineering OBSERVED; TQ-1 L4 INFERRED; TQ-3 high OBSERVED","F-02 org openvgpu created 2025-05-27 OBSERVED. ONE channel; academic naming. State: COLLABORATING","UNKNOWN","Theme 4 (Edge Intelligence: Inference, Optimization, Efficiency)","A serving-layer primitive from an academic group; VC sourcing tools index papers or companies, rarely lab infrastructure repos","Does elastic KV virtualization hold its latency guarantees under adversarial multi-tenant workloads?","Academic project or company-in-formation? No formation signal beyond the org","MEDIUM","https://github.com/ovg-project/kvcached | https://jxing.me/"
"DZ-027","UCCL team (Berkeley Sky/NetSys)","github.com/YangZhou1997 (Yang Zhou, Asst Prof UC Davis; MTS at xAI), github.com/MaoZiming (Ziming Mao, UC Berkeley PhD)","OBSERVED: self-published bios; arXiv author lists include Ion Stoica, Scott Shenker, Costin Raiciu","uccl","https://github.com/uccl-project/uccl","GPU communication library","A","GitHub + arXiv","OBSERVED 2026-08-23: active","C++/CUDA; collectives, P2P (KV-cache transfer, RL weight transfer), expert parallelism; 1,492 stars; 47 pages of contributors; Apache-2.0; created 2025-01-06","D-04 distributed systems OBSERVED; D-07 OBSERVED; TQ-4 research depth OBSERVED — arXiv:2512.19849 (UCCL-EP) and arXiv:2604.17172 (UCCL-Zip); TQ-1 L4 OBSERVED","F-02 org created 2025-01-06 OBSERVED; project site OBSERVED. Academic lab structure. State: COLLABORATING","UNKNOWN","Theme 4; the communication layer under every large training and serving system","Technically outstanding but NOT non-obvious in the relevant sense: the co-author list includes investors' most-watched systems faculty. Recorded honestly as a likely-to-be-contested formation","Does portable expert-parallel communication close the gap to vendor-specific collectives, or trade throughput for portability?","When a Berkeley systems group with this author list forms a company, it will not be a discovery. DAY ZERO should say so rather than claim credit","HIGH","https://github.com/uccl-project/uccl | https://arxiv.org/abs/2512.19849 | https://arxiv.org/abs/2604.17172"
