"source_id","source_name","url","publisher","source_type","quality_tier","publication_date","accessed_at","builder_or_project","signal_type","notes"
"SRC-039","0xSero/turboquant","https://github.com/0xSero/turboquant","GitHub","primary_artifact","1","2026-03-25","2026-08-22","0xSero","negative_control","NC-1: 1,735 stars, 2 commits, dead in 48h. Reupload of a published technique."
"SRC-040","zerobootdev/zeroboot","https://github.com/zerobootdev/zeroboot","GitHub","primary_artifact","1","2026-03-15","2026-08-22","zerobootdev","negative_control","NC-3: 2,434 stars, 24 commits, 6 active days, org + domain exist. Formation shell."
"SRC-041","dipampaul17/KVSplit","https://github.com/dipampaul17/KVSplit","GitHub","primary_artifact","1","2025-05-16","2026-08-22","dipampaul17","negative_control","NC-3 companion: 362 stars, 9 commits, 5 active days. Well-specified and abandoned."
"SRC-042","scrya-com/rotorquant","https://github.com/scrya-com/rotorquant","GitHub","primary_artifact","1","2026-03-26","2026-08-22","scrya-com","negative_control","NC-4: precise falsifiable claim, no license, dead since 2026-04-23; top contributor has 9,510 public repos."
"SRC-043","RyanCodrai/turbovec","https://github.com/RyanCodrai/turbovec","GitHub","primary_artifact","1","2026-03-26","2026-08-22","Ryan Codrai","negative_control","NC-5: strong artifact, zero formation evidence, bio 'Member of Technical Staff at Anthropic'. Must not be read as pre-departure intent."
"SRC-044","thunder-id/thunderid","https://github.com/thunder-id/thunderid","GitHub","primary_artifact","1","2025-05-01","2026-08-22","thunder-id","negative_control","NC-6: on Array's stated agent-identity mandate, but a large coordinated contributor set suggests an established team. Registry check required."
"SRC-045","FutureMLS-Lab/OSCAR","https://github.com/FutureMLS-Lab/OSCAR","GitHub","primary_artifact","1","2026-05-19","2026-08-22","FutureMLS-Lab","negative_control","NC-7: real research depth, zero formation signals. Research is not formation."
"SRC-046","Eventual-Inc/Daft","https://github.com/Eventual-Inc/Daft","GitHub","primary_artifact","1","2022-04-25","2026-08-22","Eventual / Daft","backtest_evidence","Backtest case B1. Org Eventual-Inc created 2022-02-03; repo 2022-04-25; multi-contributor commits verified through 2022 (Jay Chia, xcharleslin). Seed was 2024-10-01 => ~2.5 years of pre-financing public evidence."
"SRC-047","eunomia-bpf/agentsight","https://github.com/eunomia-bpf/agentsight","GitHub","primary_artifact","1","2025-07-07","2026-08-22","Yusheng Zheng","cross_source","CS-2. Repo created 26 days before the paper."
"SRC-048","uccl-project/uccl","https://github.com/uccl-project/uccl","GitHub","primary_artifact","1","2025-01-06","2026-08-22","UCCL","cross_source","CS-3. C++/CUDA; 47 pages of contributors; two arXiv papers."
"SRC-049","Shruti Gandhi — Chicago Booth profile","https://www.chicagobooth.edu/magazine/shruti-gandhi-array-ventures","University of Chicago Booth","institutional","2","2017-05-01","2026-08-22","Shruti Gandhi","background","Founder background"
"SRC-050","Array Ventures raises $56M to back tech-heavy enterprise software","https://techcrunch.com/tag/array-ventures/","TechCrunch","press","2","2021-12-21","2026-08-22","Array Ventures","fund_history","Fund III context"
